"field_id","field_name","value_code","value_name","category_name","item_count","notes"
2335,"Chest pain or discomfort","-1","Do not know","Chest pain",573339,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2335,"Chest pain or discomfort","-3","Prefer not to answer","Chest pain",573339,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2335,"Chest pain or discomfort","0","No","Chest pain",573339,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2335,"Chest pain or discomfort","1","Yes","Chest pain",573339,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2443,"Diabetes diagnosed by doctor","-1","Do not know","Medical conditions",573331,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure if you have been told you had diabetes,<br>select Do not know and you will be asked about this by an<br>interviewer later during this visit.<br></i></td></tr></table>"
2443,"Diabetes diagnosed by doctor","-3","Prefer not to answer","Medical conditions",573331,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure if you have been told you had diabetes,<br>select Do not know and you will be asked about this by an<br>interviewer later during this visit.<br></i></td></tr></table>"
2443,"Diabetes diagnosed by doctor","0","No","Medical conditions",573331,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure if you have been told you had diabetes,<br>select Do not know and you will be asked about this by an<br>interviewer later during this visit.<br></i></td></tr></table>"
2443,"Diabetes diagnosed by doctor","1","Yes","Medical conditions",573331,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure if you have been told you had diabetes,<br>select Do not know and you will be asked about this by an<br>interviewer later during this visit.<br></i></td></tr></table>"
2463,"Fractured/broken bones in last 5 years","-1","Do not know","Medical conditions",573331,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?"""
2463,"Fractured/broken bones in last 5 years","-3","Prefer not to answer","Medical conditions",573331,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?"""
2463,"Fractured/broken bones in last 5 years","0","No","Medical conditions",573331,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?"""
2463,"Fractured/broken bones in last 5 years","1","Yes","Medical conditions",573331,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?"""
2724,"Had menopause","-3","Prefer not to answer","Female-specific factors",309811,"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2724,"Had menopause","0","No","Female-specific factors",309811,"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2724,"Had menopause","1","Yes","Female-specific factors",309811,"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2724,"Had menopause","2","Not sure - had a hysterectomy","Female-specific factors",309811,"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2724,"Had menopause","3","Not sure - other reason","Female-specific factors",309811,"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2774,"Ever had stillbirth, spontaneous miscarriage or termination","-1","Do not know","Female-specific factors",309808,"ACE touchscreen question ""Have you ever had any stillbirths, spontaneous miscarriages or terminations?"""
2774,"Ever had stillbirth, spontaneous miscarriage or termination","-3","Prefer not to answer","Female-specific factors",309808,"ACE touchscreen question ""Have you ever had any stillbirths, spontaneous miscarriages or terminations?"""
2774,"Ever had stillbirth, spontaneous miscarriage or termination","0","No","Female-specific factors",309808,"ACE touchscreen question ""Have you ever had any stillbirths, spontaneous miscarriages or terminations?"""
2774,"Ever had stillbirth, spontaneous miscarriage or termination","1","Yes","Female-specific factors",309808,"ACE touchscreen question ""Have you ever had any stillbirths, spontaneous miscarriages or terminations?"""
2784,"Ever taken oral contraceptive pill","-1","Do not know","Female-specific factors",309808,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')"""
2784,"Ever taken oral contraceptive pill","-3","Prefer not to answer","Female-specific factors",309808,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')"""
2784,"Ever taken oral contraceptive pill","0","No","Female-specific factors",309808,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')"""
2784,"Ever taken oral contraceptive pill","1","Yes","Female-specific factors",309808,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')"""
2814,"Ever used hormone-replacement therapy (HRT)","-1","Do not know","Female-specific factors",309808,"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?"""
2814,"Ever used hormone-replacement therapy (HRT)","-3","Prefer not to answer","Female-specific factors",309808,"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?"""
2814,"Ever used hormone-replacement therapy (HRT)","0","No","Female-specific factors",309808,"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?"""
2814,"Ever used hormone-replacement therapy (HRT)","1","Yes","Female-specific factors",309808,"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?"""
2834,"Bilateral oophorectomy (both ovaries removed)","-3","Prefer not to answer","Female-specific factors",309808,"ACE touchscreen question ""Have you had BOTH ovaries removed?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Only enter Yes if you have had both ovaries removed.<br>If you have only had one ovary removed you will be able<br>to let the interviewer know later in the visit.<br>If you are unsure of whether both ovaries have been<br>removed, select Do not know.<br></i></td></tr></table>"
2834,"Bilateral oophorectomy (both ovaries removed)","-5","Not sure","Female-specific factors",309808,"ACE touchscreen question ""Have you had BOTH ovaries removed?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Only enter Yes if you have had both ovaries removed.<br>If you have only had one ovary removed you will be able<br>to let the interviewer know later in the visit.<br>If you are unsure of whether both ovaries have been<br>removed, select Do not know.<br></i></td></tr></table>"
2834,"Bilateral oophorectomy (both ovaries removed)","0","No","Female-specific factors",309808,"ACE touchscreen question ""Have you had BOTH ovaries removed?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Only enter Yes if you have had both ovaries removed.<br>If you have only had one ovary removed you will be able<br>to let the interviewer know later in the visit.<br>If you are unsure of whether both ovaries have been<br>removed, select Do not know.<br></i></td></tr></table>"
2834,"Bilateral oophorectomy (both ovaries removed)","1","Yes","Female-specific factors",309808,"ACE touchscreen question ""Have you had BOTH ovaries removed?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Only enter Yes if you have had both ovaries removed.<br>If you have only had one ovary removed you will be able<br>to let the interviewer know later in the visit.<br>If you are unsure of whether both ovaries have been<br>removed, select Do not know.<br></i></td></tr></table>"
2986,"Started insulin within one year diagnosis of diabetes","-1","Do not know","Medical conditions",29218,"ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?""<p>~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"
2986,"Started insulin within one year diagnosis of diabetes","-3","Prefer not to answer","Medical conditions",29218,"ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?""<p>~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"
2986,"Started insulin within one year diagnosis of diabetes","0","No","Medical conditions",29218,"ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?""<p>~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"
